bromeliad_id,species,total_detritus,bromeliad_leaf_size,bromeliad_diameter_size
5086,Guzmania_sp,12.13743591851733,medium,medium
5091,Guzmania_sp,8.617256411903417,medium,medium
5096,Guzmania_sp,30.123731338131886,medium,large
5101,Vriesea_sp,13.57486653885819,medium,medium
5106,Vriesea_sp,NA,NA,NA
5111,Guzmania_sp,11.64487161584975,low,medium
5116,Guzmania_sp,NA,low,small
5121,Guzmania_sp,NA,low,small
5126,Guzmania_sp,0.6017366329795647,low,small
5131,Guzmania_sp,0.47227809853080743,medium,medium
5136,Vriesea_sp,7.740723549499657,medium,medium
5141,Vriesea_sp,1.0057594317340153,low,small
5146,Vriesea_sp,30.709810259358395,medium,large
5151,Guzmania_sp,4.230039383763834,low,large
5156,Guzmania_sp,4.268043136032934,low,large
5161,Guzmania_sp,2.849337446635177,low,small
5166,Vriesea_sp,69.50110235513162,medium,large
5176,Vriesea_sp,15.11342548112682,medium,medium
5181,Guzmania_sp,10.96235577353852,medium,large
336,Guzmania_sp,10.9356,high,small
341,Guzmania_sp,55.3272,medium,large
346,Guzmania_sp,18.6812,high,medium
351,Guzmania_sp,1.8432,medium,small
356,Vriesea_sp,4.0132,high,small
361,Guzmania_sp,15.8064,high,medium
366,Vriesea_sp,70.6084,high,large
371,Guzmania_sp,8.8832,high,medium
376,Guzmania_sp,11.2668,low,medium
381,Guzmania_sp,0.7792,low,medium
386,Guzmania_sp,35.6288,medium,large
391,Vriesea_sp,13.3292,medium,medium
396,Vriesea_sp,1.817167,high,small
401,Guzmania_sp,9.2192,medium,medium
406,Vriesea_sp,9.2452,medium,small
411,Vriesea_sp,9.5892,high,small
416,Vriesea_sp,7.9844,high,small
421,Guzmania_sp,17.8072,high,medium
426,Vriesea_sp,77.0828,high,medium
431,Vriesea_sp,13.3139,medium,medium
436,Vriesea_sanguinolenta,67.7224848218826,medium,large
441,Vriesea_sanguinolenta,8.39522692092366,medium,medium
446,Vriesea_sanguinolenta,6.666338179585319,medium,medium
451,Vriesea_sanguinolenta,5.686814338364151,medium,small
456,Vriesea_sanguinolenta,16.89568027747746,medium,medium
461,Vriesea_sanguinolenta,4.278184150420538,low,small
466,Vriesea_sanguinolenta,17.92885846678138,medium,medium
471,Vriesea_sanguinolenta,58.51363344758782,low,large
476,Vriesea_sanguinolenta,55.44026255319119,medium,large
481,Vriesea_sanguinolenta,32.80507055912607,medium,large
486,Vriesea_sanguinolenta,4.91172778575779,medium,small
491,Vriesea_sanguinolenta,2.568197561606649,low,small
496,Vriesea_sanguinolenta,1.7648584715838582,low,small
501,Vriesea_sanguinolenta,1.2079067455335062,low,small
506,Vriesea_sanguinolenta,0.93385121557627,low,small
511,Vriesea_sanguinolenta,1.9896747373067996,low,small
516,Vriesea_sanguinolenta,38.31465481407928,high,medium
951,Vriesea_gladioliflora,6.937,medium,small
956,Vriesea_kupperiana,23.778,medium,small
961,Vriesea_gladioliflora,6.582,medium,small
966,Vriesea_sanguinolenta,4.298,low,small
971,Vriesea_gladioliflora,6.922,medium,small
976,Vriesea_kupperiana,9.768,medium,small
981,Vriesea_gladioliflora,5.21,medium,small
986,Vriesea_gladioliflora,2.972,low,small
991,Vriesea_gladioliflora,5.002,high,small
996,Vriesea_kupperiana,10.358,medium,small
1001,Vriesea_gladioliflora,2.022,medium,small
1006,Vriesea_gladioliflora,2.384,medium,small
1011,Vriesea_gladioliflora,2.67,low,small
1016,Vriesea_gladioliflora,0.536,low,small
1021,Vriesea_gladioliflora,2.72,medium,small
1026,Vriesea_gladioliflora,3.074,medium,small
1031,Vriesea_gladioliflora,1.478,low,small
1036,Vriesea_gladioliflora,1.224,low,small
